session_id,candidate_name,event_type,timestamp
SESSION_1,Arun,tab_switched,2026-09-14 18:48:56
SESSION_1,Arun,question_answered,2026-09-14 18:50:30
SESSION_1,Arun,tab_switched,2026-09-14 18:51:00
SESSION_1,Arun,focus_loss,2026-09-14 18:53:56
SESSION_1,Arun,tab_switched,2026-09-14 18:55:20
SESSION_1,Arun,question_answered,2026-09-14 18:58:14
SESSION_1,Arun,question_answered,2026-09-14 18:59:11
SESSION_1,Arun,focus_loss,2026-09-14 19:00:19
SESSION_1,Arun,question_answered,2026-09-14 19:03:14
SESSION_1,Arun,tab_switched,2026-09-14 19:04:24
SESSION_1,Arun,question_answered,2026-09-14 19:05:44
SESSION_1,Arun,face_absent,2026-09-14 19:08:11
SESSION_1,Arun,face_absent,2026-09-14 19:10:46
SESSION_1,Arun,question_answered,2026-09-14 19:12:47
SESSION_1,Arun,focus_loss,2026-09-14 19:14:50
SESSION_1,Arun,face_absent,2026-09-14 19:17:01
SESSION_1,Arun,face_absent,2026-09-14 19:19:50
SESSION_1,Arun,question_answered,2026-09-14 19:21:11
SESSION_1,Arun,face_absent,2026-09-14 19:24:07
SESSION_1,Arun,tab_switched,2026-09-14 19:26:14
SESSION_2,Priya,focus_loss,2026-09-14 18:49:04
SESSION_2,Priya,tab_switched,2026-09-14 18:51:04
SESSION_2,Priya,tab_switched,2026-09-14 18:52:17
SESSION_2,Priya,face_absent,2026-09-14 18:55:04
SESSION_2,Priya,face_detected,2026-09-14 18:56:11
SESSION_2,Priya,tab_switched,2026-09-14 18:57:39
SESSION_2,Priya,question_answered,2026-09-14 18:59:43
SESSION_2,Priya,face_detected,2026-09-14 19:00:30
SESSION_2,Priya,tab_switched,2026-09-14 19:01:07
SESSION_2,Priya,face_detected,2026-09-14 19:04:06
SESSION_2,Priya,focus_loss,2026-09-14 19:05:35
SESSION_2,Priya,face_absent,2026-09-14 19:06:49
SESSION_2,Priya,question_answered,2026-09-14 19:08:29
SESSION_2,Priya,tab_switched,2026-09-14 19:10:49
SESSION_2,Priya,face_absent,2026-09-14 19:12:27
SESSION_2,Priya,face_detected,2026-09-14 19:13:57
SESSION_2,Priya,tab_switched,2026-09-14 19:16:07
SESSION_2,Priya,face_detected,2026-09-14 19:17:40
SESSION_2,Priya,focus_loss,2026-09-14 19:18:15
SESSION_2,Priya,focus_loss,2026-09-14 19:20:42
SESSION_3,Rahul,face_detected,2026-09-14 18:47:33
SESSION_3,Rahul,face_absent,2026-09-14 18:50:07
SESSION_3,Rahul,tab_switched,2026-09-14 18:51:05
SESSION_3,Rahul,tab_switched,2026-09-14 18:53:35
SESSION_3,Rahul,face_absent,2026-09-14 18:55:26
SESSION_3,Rahul,face_detected,2026-09-14 18:58:09
SESSION_3,Rahul,face_detected,2026-09-14 18:59:37
SESSION_3,Rahul,face_absent,2026-09-14 19:01:21
SESSION_3,Rahul,focus_loss,2026-09-14 19:03:53
SESSION_3,Rahul,focus_loss,2026-09-14 19:05:35
SESSION_3,Rahul,tab_switched,2026-09-14 19:06:12
SESSION_3,Rahul,focus_loss,2026-09-14 19:07:58
SESSION_3,Rahul,face_detected,2026-09-14 19:08:48
SESSION_3,Rahul,face_absent,2026-09-14 19:10:18
SESSION_3,Rahul,tab_switched,2026-09-14 19:12:40
SESSION_3,Rahul,tab_switched,2026-09-14 19:13:40
SESSION_3,Rahul,face_detected,2026-09-14 19:15:18
SESSION_3,Rahul,face_absent,2026-09-14 19:17:41
SESSION_3,Rahul,face_absent,2026-09-14 19:18:17
SESSION_3,Rahul,question_answered,2026-09-14 19:20:44
SESSION_4,Anu,face_absent,2026-09-14 18:48:41
SESSION_4,Anu,tab_switched,2026-09-14 18:49:29
SESSION_4,Anu,question_answered,2026-09-14 18:51:48
SESSION_4,Anu,tab_switched,2026-09-14 18:54:06
SESSION_4,Anu,face_detected,2026-09-14 18:55:59
SESSION_4,Anu,focus_loss,2026-09-14 18:58:40
SESSION_4,Anu,tab_switched,2026-09-14 19:00:11
SESSION_4,Anu,face_absent,2026-09-14 19:00:54
SESSION_4,Anu,tab_switched,2026-09-14 19:02:03
SESSION_4,Anu,question_answered,2026-09-14 19:05:03
SESSION_4,Anu,face_detected,2026-09-14 19:05:49
SESSION_4,Anu,face_detected,2026-09-14 19:08:40
SESSION_4,Anu,face_detected,2026-09-14 19:10:16
SESSION_4,Anu,face_absent,2026-09-14 19:11:17
SESSION_4,Anu,question_answered,2026-09-14 19:13:50
SESSION_4,Anu,face_absent,2026-09-14 19:16:21
SESSION_4,Anu,face_absent,2026-09-14 19:18:14
SESSION_4,Anu,face_absent,2026-09-14 19:19:52
SESSION_4,Anu,face_detected,2026-09-14 19:22:48
SESSION_4,Anu,face_detected,2026-09-14 19:23:50
SESSION_5,Kiran,face_absent,2026-09-14 18:47:14
SESSION_5,Kiran,face_absent,2026-09-14 18:48:58
SESSION_5,Kiran,tab_switched,2026-09-14 18:49:55
SESSION_5,Kiran,face_absent,2026-09-14 18:52:18
SESSION_5,Kiran,face_detected,2026-09-14 18:54:10
SESSION_5,Kiran,face_absent,2026-09-14 18:56:16
SESSION_5,Kiran,focus_loss,2026-09-14 18:57:08
SESSION_5,Kiran,face_detected,2026-09-14 18:58:07
SESSION_5,Kiran,focus_loss,2026-09-14 19:00:39
SESSION_5,Kiran,face_absent,2026-09-14 19:01:35
SESSION_5,Kiran,question_answered,2026-09-14 19:04:35
SESSION_5,Kiran,tab_switched,2026-09-14 19:05:40
SESSION_5,Kiran,focus_loss,2026-09-14 19:06:44
SESSION_5,Kiran,face_absent,2026-09-14 19:08:03
SESSION_5,Kiran,face_detected,2026-09-14 19:08:49
SESSION_5,Kiran,face_absent,2026-09-14 19:11:33
SESSION_5,Kiran,face_absent,2026-09-14 19:12:41
SESSION_5,Kiran,tab_switched,2026-09-14 19:14:29
SESSION_5,Kiran,question_answered,2026-09-14 19:17:14
SESSION_5,Kiran,tab_switched,2026-09-14 19:19:43
SESSION_6,Sneha,face_absent,2026-09-14 18:47:15
SESSION_6,Sneha,focus_loss,2026-09-14 18:48:00
SESSION_6,Sneha,tab_switched,2026-09-14 18:49:10
SESSION_6,Sneha,tab_switched,2026-09-14 18:50:28
SESSION_6,Sneha,question_answered,2026-09-14 18:51:01
SESSION_6,Sneha,question_answered,2026-09-14 18:51:54
SESSION_6,Sneha,question_answered,2026-09-14 18:53:19
SESSION_6,Sneha,question_answered,2026-09-14 18:56:01
SESSION_6,Sneha,question_answered,2026-09-14 18:57:54
SESSION_6,Sneha,face_detected,2026-09-14 19:00:50
SESSION_6,Sneha,focus_loss,2026-09-14 19:02:02
SESSION_6,Sneha,face_absent,2026-09-14 19:02:43
SESSION_6,Sneha,face_detected,2026-09-14 19:05:43
SESSION_6,Sneha,question_answered,2026-09-14 19:08:17
SESSION_6,Sneha,tab_switched,2026-09-14 19:10:10
SESSION_6,Sneha,face_detected,2026-09-14 19:10:47
SESSION_6,Sneha,tab_switched,2026-09-14 19:11:57
SESSION_6,Sneha,face_detected,2026-09-14 19:12:35
SESSION_6,Sneha,tab_switched,2026-09-14 19:13:19
SESSION_6,Sneha,focus_loss,2026-09-14 19:15:22
SESSION_7,Ravi,focus_loss,2026-09-14 18:46:56
SESSION_7,Ravi,tab_switched,2026-09-14 18:47:32
SESSION_7,Ravi,focus_loss,2026-09-14 18:49:55
SESSION_7,Ravi,face_detected,2026-09-14 18:52:29
SESSION_7,Ravi,question_answered,2026-09-14 18:54:14
SESSION_7,Ravi,question_answered,2026-09-14 18:56:03
SESSION_7,Ravi,tab_switched,2026-09-14 18:57:10
SESSION_7,Ravi,tab_switched,2026-09-14 18:59:41
SESSION_7,Ravi,tab_switched,2026-09-14 19:01:26
SESSION_7,Ravi,focus_loss,2026-09-14 19:04:00
SESSION_7,Ravi,face_absent,2026-09-14 19:05:16
SESSION_7,Ravi,tab_switched,2026-09-14 19:06:54
SESSION_7,Ravi,tab_switched,2026-09-14 19:08:33
SESSION_7,Ravi,face_absent,2026-09-14 19:09:11
SESSION_7,Ravi,face_absent,2026-09-14 19:12:00
SESSION_7,Ravi,tab_switched,2026-09-14 19:13:22
SESSION_7,Ravi,focus_loss,2026-09-14 19:15:49
SESSION_7,Ravi,tab_switched,2026-09-14 19:17:00
SESSION_7,Ravi,face_absent,2026-09-14 19:19:50
SESSION_7,Ravi,face_detected,2026-09-14 19:22:19
SESSION_8,Kavya,focus_loss,2026-09-14 18:48:07
SESSION_8,Kavya,question_answered,2026-09-14 18:49:49
SESSION_8,Kavya,focus_loss,2026-09-14 18:51:35
SESSION_8,Kavya,tab_switched,2026-09-14 18:52:56
SESSION_8,Kavya,face_detected,2026-09-14 18:54:14
SESSION_8,Kavya,face_detected,2026-09-14 18:55:21
SESSION_8,Kavya,tab_switched,2026-09-14 18:56:06
SESSION_8,Kavya,focus_loss,2026-09-14 18:58:54
SESSION_8,Kavya,question_answered,2026-09-14 19:00:16
SESSION_8,Kavya,question_answered,2026-09-14 19:03:08
SESSION_8,Kavya,face_absent,2026-09-14 19:05:30
